"scenario","year","variable","value","units","source"
"ssp119",1866,"gmst",0.0738255440363044,"degC","V3.5.0"
"ssp119",1867,"gmst",0.0912996611891141,"degC","V3.5.0"
"ssp119",1868,"gmst",0.104391952491209,"degC","V3.5.0"
"ssp119",1869,"gmst",0.11547674895454,"degC","V3.5.0"
"ssp119",1870,"gmst",0.124162792948037,"degC","V3.5.0"
"ssp119",1871,"gmst",0.132134910569892,"degC","V3.5.0"
"ssp119",1872,"gmst",0.139198549398637,"degC","V3.5.0"
"ssp119",1873,"gmst",0.125721520926643,"degC","V3.5.0"
"ssp119",1874,"gmst",0.124202035693246,"degC","V3.5.0"
"ssp119",1875,"gmst",0.128056606891333,"degC","V3.5.0"
"ssp119",1876,"gmst",0.132169169008777,"degC","V3.5.0"
"ssp119",1877,"gmst",0.139289473806819,"degC","V3.5.0"
"ssp119",1878,"gmst",0.146876468040525,"degC","V3.5.0"
"ssp119",1879,"gmst",0.152800598038167,"degC","V3.5.0"
"ssp119",1880,"gmst",0.154074825808997,"degC","V3.5.0"
"ssp119",1881,"gmst",0.154892599335653,"degC","V3.5.0"
"ssp119",1882,"gmst",0.159713045835803,"degC","V3.5.0"
"ssp119",1883,"gmst",0.118520624705439,"degC","V3.5.0"
"ssp119",1884,"gmst",-0.0530267848633901,"degC","V3.5.0"
"ssp119",1885,"gmst",-0.0919794579168595,"degC","V3.5.0"
"ssp119",1886,"gmst",-0.0529015746891673,"degC","V3.5.0"
"ssp119",1887,"gmst",-0.0153642184376077,"degC","V3.5.0"
"ssp119",1888,"gmst",0.0232048315835983,"degC","V3.5.0"
"ssp119",1889,"gmst",0.0576824957668631,"degC","V3.5.0"
"ssp119",1890,"gmst",0.072090296175959,"degC","V3.5.0"
"ssp119",1891,"gmst",0.0664399607662031,"degC","V3.5.0"
"ssp119",1892,"gmst",0.0777577571893979,"degC","V3.5.0"
"ssp119",1893,"gmst",0.0993525337405855,"degC","V3.5.0"
"ssp119",1894,"gmst",0.116450515325002,"degC","V3.5.0"
"ssp119",1895,"gmst",0.12956617047263,"degC","V3.5.0"
"ssp119",1896,"gmst",0.140129102550405,"degC","V3.5.0"
"ssp119",1897,"gmst",0.147968214584417,"degC","V3.5.0"
"ssp119",1898,"gmst",0.1541992215653,"degC","V3.5.0"
"ssp119",1899,"gmst",0.15792956746412,"degC","V3.5.0"
"ssp119",1900,"gmst",0.160916230646633,"degC","V3.5.0"
"ssp119",1901,"gmst",0.164071562091855,"degC","V3.5.0"
"ssp119",1902,"gmst",0.157955056864552,"degC","V3.5.0"
"ssp119",1903,"gmst",0.0798615969791279,"degC","V3.5.0"
"ssp119",1904,"gmst",0.0521219042754,"degC","V3.5.0"
"ssp119",1905,"gmst",0.0689852472034472,"degC","V3.5.0"
"ssp119",1906,"gmst",0.0933853316253698,"degC","V3.5.0"
"ssp119",1907,"gmst",0.0989362434536336,"degC","V3.5.0"
"ssp119",1908,"gmst",0.108268428743371,"degC","V3.5.0"
"ssp119",1909,"gmst",0.122411628059119,"degC","V3.5.0"
"ssp119",1910,"gmst",0.132748384627355,"degC","V3.5.0"
"ssp119",1911,"gmst",0.14197174824924,"degC","V3.5.0"
"ssp119",1912,"gmst",0.109548259498907,"degC","V3.5.0"
"ssp119",1913,"gmst",0.0732962917046742,"degC","V3.5.0"
"ssp119",1914,"gmst",0.0785153355108926,"degC","V3.5.0"
"ssp119",1915,"gmst",0.101459899176111,"degC","V3.5.0"
"ssp119",1916,"gmst",0.120329429549092,"degC","V3.5.0"
"ssp119",1917,"gmst",0.133233988399591,"degC","V3.5.0"
"ssp119",1918,"gmst",0.143574938959671,"degC","V3.5.0"
"ssp119",1919,"gmst",0.156937103075823,"degC","V3.5.0"
"ssp119",1920,"gmst",0.165924510801334,"degC","V3.5.0"
