"scenario","year","variable","value","units","version"
"1pctCO2",1934,"gmst",4.04060187493786,"degC","3.5.0"
"1pctCO2",1935,"gmst",4.0773837681853,"degC","3.5.0"
"1pctCO2",1936,"gmst",4.11422461883663,"degC","3.5.0"
"1pctCO2",1937,"gmst",4.15112338746989,"degC","3.5.0"
"1pctCO2",1938,"gmst",4.18807899326086,"degC","3.5.0"
"1pctCO2",1939,"gmst",4.22509031174089,"degC","3.5.0"
"1pctCO2",1940,"gmst",4.26215617454581,"degC","3.5.0"
"1pctCO2",1941,"gmst",4.29927536643607,"degC","3.5.0"
"1pctCO2",1942,"gmst",4.33644662436049,"degC","3.5.0"
"1pctCO2",1943,"gmst",4.37366863751216,"degC","3.5.0"
"1pctCO2",1944,"gmst",4.41094004294168,"degC","3.5.0"
"1pctCO2",1945,"gmst",4.44825942632627,"degC","3.5.0"
"1pctCO2",1946,"gmst",4.48562531820279,"degC","3.5.0"
"1pctCO2",1947,"gmst",4.52303619446404,"degC","3.5.0"
"1pctCO2",1948,"gmst",4.56049047285885,"degC","3.5.0"
"1pctCO2",1949,"gmst",4.5979865117693,"degC","3.5.0"
"1pctCO2",1950,"gmst",4.63552260858474,"degC","3.5.0"
"1pctCO2",1951,"gmst",4.67309699828071,"degC","3.5.0"
"1pctCO2",1952,"gmst",4.71070784999216,"degC","3.5.0"
"1pctCO2",1953,"gmst",4.74835326688895,"degC","3.5.0"
"1pctCO2",1954,"gmst",4.78603128310055,"degC","3.5.0"
"1pctCO2",1955,"gmst",4.82373986138472,"degC","3.5.0"
"1pctCO2",1956,"gmst",4.86147689179849,"degC","3.5.0"
"1pctCO2",1957,"gmst",4.89924018967873,"degC","3.5.0"
"1pctCO2",1958,"gmst",4.9370274925455,"degC","3.5.0"
"1pctCO2",1959,"gmst",4.97483645835472,"degC","3.5.0"
"1pctCO2",1960,"gmst",5.01266466322959,"degC","3.5.0"
"1pctCO2",1961,"gmst",5.0505095994099,"degC","3.5.0"
"1pctCO2",1962,"gmst",5.08836867222083,"degC","3.5.0"
"1pctCO2",1963,"gmst",5.12623919783098,"degC","3.5.0"
"1pctCO2",1964,"gmst",5.16411840133207,"degC","3.5.0"
"1pctCO2",1965,"gmst",5.20200341255505,"degC","3.5.0"
"1pctCO2",1966,"gmst",5.23989126517283,"degC","3.5.0"
"1pctCO2",1967,"gmst",5.27777889319868,"degC","3.5.0"
"1pctCO2",1968,"gmst",5.3156631280513,"degC","3.5.0"
"1pctCO2",1969,"gmst",5.35354069605215,"degC","3.5.0"
"1pctCO2",1970,"gmst",5.39140821572425,"degC","3.5.0"
"1pctCO2",1971,"gmst",5.42926219414414,"degC","3.5.0"
"1pctCO2",1972,"gmst",5.46709902439057,"degC","3.5.0"
"1pctCO2",1973,"gmst",5.50491498212227,"degC","3.5.0"
"1pctCO2",1974,"gmst",5.54270622237375,"degC","3.5.0"
"1pctCO2",1975,"gmst",5.58046877733108,"degC","3.5.0"
"1pctCO2",1976,"gmst",5.6181985513073,"degC","3.5.0"
"1pctCO2",1977,"gmst",5.65589131788396,"degC","3.5.0"
"1pctCO2",1978,"gmst",5.69354271735784,"degC","3.5.0"
"1pctCO2",1979,"gmst",5.73114825205972,"degC","3.5.0"
"1pctCO2",1980,"gmst",5.76870328299928,"degC","3.5.0"
"1pctCO2",1981,"gmst",5.80620302612104,"degC","3.5.0"
"1pctCO2",1982,"gmst",5.84364254834809,"degC","3.5.0"
"1pctCO2",1983,"gmst",5.88101676383053,"degC","3.5.0"
"1pctCO2",1984,"gmst",5.91832043001632,"degC","3.5.0"
"1pctCO2",1985,"gmst",5.95554814290671,"degC","3.5.0"
"1pctCO2",1986,"gmst",5.99269433350621,"degC","3.5.0"
"1pctCO2",1987,"gmst",6.0297532631423,"degC","3.5.0"
"1pctCO2",1988,"gmst",6.06671901890913,"degC","3.5.0"
"1pctCO2",1989,"gmst",6.10358817003443,"degC","3.5.0"
"1pctCO2",1990,"gmst",6.14037781283926,"degC","3.5.0"
"1pctCO2",1991,"gmst",6.17710659096778,"degC","3.5.0"
"1pctCO2",1992,"gmst",6.21378799004185,"degC","3.5.0"
"1pctCO2",1993,"gmst",6.2504317207054,"degC","3.5.0"
"1pctCO2",1994,"gmst",6.28704505704021,"degC","3.5.0"
"1pctCO2",1995,"gmst",6.32363361225277,"degC","3.5.0"
"1pctCO2",1996,"gmst",6.36020182202475,"degC","3.5.0"
"1pctCO2",1997,"gmst",6.39675325951588,"degC","3.5.0"
"1pctCO2",1998,"gmst",6.43329085096008,"degC","3.5.0"
"1pctCO2",1999,"gmst",6.4698170261452,"degC","3.5.0"
"1pctCO2",2000,"gmst",6.50633382791623,"degC","3.5.0"
"1pctCO2",2001,"gmst",6.54284299177979,"degC","3.5.0"
"1pctCO2",2002,"gmst",6.57934600616857,"degC","3.5.0"
"1pctCO2",2003,"gmst",6.61584415763465,"degC","3.5.0"
"1pctCO2",2004,"gmst",6.65233856695563,"degC","3.5.0"
"1pctCO2",2005,"gmst",6.68883021647923,"degC","3.5.0"
"1pctCO2",2006,"gmst",6.72531997192422,"degC","3.5.0"
"1pctCO2",2007,"gmst",6.7618086006317,"degC","3.5.0"
"1pctCO2",2008,"gmst",6.79829678512009,"degC","3.5.0"
"1pctCO2",2009,"gmst",6.83478513575696,"degC","3.5.0"
"1pctCO2",2010,"gmst",6.87127419984033,"degC","3.5.0"
"1pctCO2",2011,"gmst",6.90776446971035,"degC","3.5.0"
"1pctCO2",2012,"gmst",6.94425638960615,"degC","3.5.0"
"1pctCO2",2013,"gmst",6.98075036161694,"degC","3.5.0"
"1pctCO2",2014,"gmst",7.01724675045162,"degC","3.5.0"
"1pctCO2",2015,"gmst",7.05374588745397,"degC","3.5.0"
"1pctCO2",2016,"gmst",7.09024807448334,"degC","3.5.0"
"1pctCO2",2017,"gmst",7.1267535865565,"degC","3.5.0"
"1pctCO2",2018,"gmst",7.16326267518424,"degC","3.5.0"
"1pctCO2",2019,"gmst",7.19977557016794,"degC","3.5.0"
"1pctCO2",2020,"gmst",7.23629248194089,"degC","3.5.0"
"1pctCO2",2021,"gmst",7.27281360364101,"degC","3.5.0"
"1pctCO2",2022,"gmst",7.30933911240385,"degC","3.5.0"
"1pctCO2",2023,"gmst",7.34586917067533,"degC","3.5.0"
"1pctCO2",2024,"gmst",7.3824039275888,"degC","3.5.0"
"1pctCO2",2025,"gmst",7.41894352034338,"degC","3.5.0"
"1pctCO2",2026,"gmst",7.45548807494626,"degC","3.5.0"
"1pctCO2",2027,"gmst",7.49203770743023,"degC","3.5.0"
"1pctCO2",2028,"gmst",7.52859252431242,"degC","3.5.0"
"1pctCO2",2029,"gmst",7.56515262354068,"degC","3.5.0"
"1pctCO2",2030,"gmst",7.60171809513417,"degC","3.5.0"
"1pctCO2",2031,"gmst",7.63828902187496,"degC","3.5.0"
"1pctCO2",2032,"gmst",7.67486547950611,"degC","3.5.0"
"1pctCO2",2033,"gmst",7.71144753764302,"degC","3.5.0"
"1pctCO2",2034,"gmst",7.74803526017845,"degC","3.5.0"
"1pctCO2",2035,"gmst",7.78462870555149,"degC","3.5.0"
"1pctCO2",2036,"gmst",7.82122792716097,"degC","3.5.0"
"1pctCO2",2037,"gmst",7.85783297370525,"degC","3.5.0"
"1pctCO2",2038,"gmst",7.89444388979663,"degC","3.5.0"
"1pctCO2",2039,"gmst",7.93106071555579,"degC","3.5.0"
"1pctCO2",2040,"gmst",7.96768348764456,"degC","3.5.0"
"1pctCO2",2041,"gmst",8.00431223929339,"degC","3.5.0"
"1pctCO2",2042,"gmst",8.04094700002526,"degC","3.5.0"
"1pctCO2",2043,"gmst",8.07758779682509,"degC","3.5.0"
"1pctCO2",2044,"gmst",8.1142346534135,"degC","3.5.0"
"1pctCO2",2045,"gmst",8.1508875910234,"degC","3.5.0"
"1pctCO2",2046,"gmst",8.18754662829869,"degC","3.5.0"
"1pctCO2",2047,"gmst",8.22421178141805,"degC","3.5.0"
"1pctCO2",2048,"gmst",8.2608830647002,"degC","3.5.0"
"1pctCO2",2049,"gmst",8.29756048992711,"degC","3.5.0"
"1pctCO2",2050,"gmst",8.33424406730854,"degC","3.5.0"
"1pctCO2",2051,"gmst",8.37093380490806,"degC","3.5.0"
"1pctCO2",2052,"gmst",8.40762970943416,"degC","3.5.0"
"1pctCO2",2053,"gmst",8.44433178570613,"degC","3.5.0"
"1pctCO2",2054,"gmst",8.48104003716144,"degC","3.5.0"
"1pctCO2",2055,"gmst",8.51775446571251,"degC","3.5.0"
"1pctCO2",2056,"gmst",8.55447507197761,"degC","3.5.0"
"1pctCO2",2057,"gmst",8.59120185546626,"degC","3.5.0"
"1pctCO2",2058,"gmst",8.62793481422295,"degC","3.5.0"
"1pctCO2",2059,"gmst",8.66467394536727,"degC","3.5.0"
"1pctCO2",2060,"gmst",8.70141924496112,"degC","3.5.0"
"1pctCO2",2061,"gmst",8.73817070808068,"degC","3.5.0"
"1pctCO2",2062,"gmst",8.77492832872728,"degC","3.5.0"
"1pctCO2",2063,"gmst",8.81169210026512,"degC","3.5.0"
"1pctCO2",2064,"gmst",8.84846201505474,"degC","3.5.0"
"1pctCO2",2065,"gmst",8.88523806461662,"degC","3.5.0"
"1pctCO2",2066,"gmst",8.92202024004817,"degC","3.5.0"
"1pctCO2",2067,"gmst",8.9588085314823,"degC","3.5.0"
"1pctCO2",2068,"gmst",8.99560292836944,"degC","3.5.0"
"1pctCO2",2069,"gmst",9.03240341986657,"degC","3.5.0"
"1pctCO2",2070,"gmst",9.06920999427746,"degC","3.5.0"
"1pctCO2",2071,"gmst",9.0973149468118,"degC","3.5.0"
"1pctCO2",2072,"gmst",9.11781760242799,"degC","3.5.0"
"1pctCO2",2073,"gmst",9.13286385829374,"degC","3.5.0"
"1pctCO2",2074,"gmst",9.1438728761984,"degC","3.5.0"
"1pctCO2",2075,"gmst",9.15172548587462,"degC","3.5.0"
"1pctCO2",2076,"gmst",9.1569853689028,"degC","3.5.0"
"1pctCO2",2077,"gmst",9.16007965325486,"degC","3.5.0"
"1pctCO2",2078,"gmst",9.16135452531318,"degC","3.5.0"
"1pctCO2",2079,"gmst",9.16107600495459,"degC","3.5.0"
"1pctCO2",2080,"gmst",9.15944364970508,"degC","3.5.0"
"1pctCO2",2081,"gmst",9.1566157959802,"degC","3.5.0"
"1pctCO2",2082,"gmst",9.15272488663909,"degC","3.5.0"
"1pctCO2",2083,"gmst",9.14788175266981,"degC","3.5.0"
"1pctCO2",2084,"gmst",9.14217842796325,"degC","3.5.0"
"1pctCO2",2085,"gmst",9.13569253805261,"degC","3.5.0"
"1pctCO2",2086,"gmst",9.12849097680436,"degC","3.5.0"
"1pctCO2",2087,"gmst",9.1206319466142,"degC","3.5.0"
"1pctCO2",2088,"gmst",9.11216631749393,"degC","3.5.0"
"1pctCO2",2089,"gmst",9.10313889764855,"degC","3.5.0"
"1pctCO2",2090,"gmst",9.09358950801745,"degC","3.5.0"
"1pctCO2",2091,"gmst",9.08355377900459,"degC","3.5.0"
"1pctCO2",2092,"gmst",9.07306376726266,"degC","3.5.0"
"1pctCO2",2093,"gmst",9.06214846910871,"degC","3.5.0"
"1pctCO2",2094,"gmst",9.05083424568656,"degC","3.5.0"
"1pctCO2",2095,"gmst",9.03914517040464,"degC","3.5.0"
"1pctCO2",2096,"gmst",9.02710331641534,"degC","3.5.0"
"1pctCO2",2097,"gmst",9.01472899767791,"degC","3.5.0"
"1pctCO2",2098,"gmst",9.00204097215524,"degC","3.5.0"
"1pctCO2",2099,"gmst",8.98905661391609,"degC","3.5.0"
"1pctCO2",2100,"gmst",8.9757920597852,"degC","3.5.0"
"1pctCO2",1745,"global_tas",0,"degC","3.5.0"
"1pctCO2",1746,"global_tas",0,"degC","3.5.0"
"1pctCO2",1747,"global_tas",0,"degC","3.5.0"
"1pctCO2",1748,"global_tas",0,"degC","3.5.0"
"1pctCO2",1749,"global_tas",0,"degC","3.5.0"
"1pctCO2",1750,"global_tas",0,"degC","3.5.0"
"1pctCO2",1751,"global_tas",-8.64806516258497e-08,"degC","3.5.0"
"1pctCO2",1752,"global_tas",-1.87768794086156e-07,"degC","3.5.0"
"1pctCO2",1753,"global_tas",-2.65319796785594e-07,"degC","3.5.0"
"1pctCO2",1754,"global_tas",-3.16729201178338e-07,"degC","3.5.0"
"1pctCO2",1755,"global_tas",-3.47094097801041e-07,"degC","3.5.0"
"1pctCO2",1756,"global_tas",-3.61743976433976e-07,"degC","3.5.0"
"1pctCO2",1757,"global_tas",-3.64833093281382e-07,"degC","3.5.0"
"1pctCO2",1758,"global_tas",-3.59376424967888e-07,"degC","3.5.0"
"1pctCO2",1759,"global_tas",-3.47536298554123e-07,"degC","3.5.0"
"1pctCO2",1760,"global_tas",-3.30878145341989e-07,"degC","3.5.0"
"1pctCO2",1761,"global_tas",-3.10554431366358e-07,"degC","3.5.0"
"1pctCO2",1762,"global_tas",-2.87429350325501e-07,"degC","3.5.0"
"1pctCO2",1763,"global_tas",-2.62162468349819e-07,"degC","3.5.0"
"1pctCO2",1764,"global_tas",-2.35265309578884e-07,"degC","3.5.0"
"1pctCO2",1765,"global_tas",-2.07140251471443e-07,"degC","3.5.0"
"1pctCO2",1766,"global_tas",-1.78107755843539e-07,"degC","3.5.0"
"1pctCO2",1767,"global_tas",-1.4842578973196e-07,"degC","3.5.0"
"1pctCO2",1768,"global_tas",-1.18303922281319e-07,"degC","3.5.0"
"1pctCO2",1769,"global_tas",-8.7913727619192e-08,"degC","3.5.0"
"1pctCO2",1770,"global_tas",-5.73965800942659e-08,"degC","3.5.0"
"1pctCO2",1771,"global_tas",-2.68695787177711e-08,"degC","3.5.0"
"1pctCO2",1772,"global_tas",3.56989034648365e-09,"degC","3.5.0"
"1pctCO2",1773,"global_tas",3.38405976467703e-08,"degC","3.5.0"
"1pctCO2",1774,"global_tas",6.38746667966684e-08,"degC","3.5.0"
"1pctCO2",1775,"global_tas",9.36153407824602e-08,"degC","3.5.0"
"1pctCO2",1776,"global_tas",1.23015185119379e-07,"degC","3.5.0"
"1pctCO2",1777,"global_tas",1.52034629087152e-07,"degC","3.5.0"
"1pctCO2",1778,"global_tas",1.80640771366554e-07,"degC","3.5.0"
"1pctCO2",1779,"global_tas",2.08806394764804e-07,"degC","3.5.0"
